X                  Y                  Z
================== ================== ==================
        15009.0000              .0000       1281226.8959
        15009.0000              .0000       2562453.7919
        15009.0000              .0000       3843680.6878
        15009.0000              .0000       5124907.5838
        15009.0000              .0000       6406134.4797
        15009.0000              .0000       7687361.3757
        15009.0000              .0000       8968588.2716
        15009.0000              .0000      10249815.1676
        15009.0000              .0000      11531042.0636
        15009.0000              .0000      12812268.9595
        15009.0000              .0000      14093495.8555
        15009.0000              .0000      15374722.7514
        15009.0000              .0000      16655949.6474
        15009.0000              .0000      17937176.5433
        15009.0000              .0000      19218403.4393
        15009.0000              .0000      20499630.3353
        15009.0000              .0000      21780857.2312
        15009.0000              .0000      23062084.1272
        15009.0000              .0000      24343311.0231
        15009.0000              .0000      25624537.9191
        15009.0000              .0000      26905764.8150
        15009.0000              .0000      28186991.7110
        15009.0000              .0000      29468218.6070
        15009.0000              .0000      30749445.5029
        15009.0000              .0000      32030672.3989
        15009.0000              .0000      33311899.2948
        15009.0000              .0000      34593126.1908
        15009.0000              .0000      35874353.0867
        15009.0000              .0000      37155579.9827
        15009.0000              .0000      38436806.8787
        15009.0000              .0000      39718033.7746
        15009.0000              .0000      40999260.6706
        15009.0000              .0000      42280487.5665
        15009.0000              .0000      43561714.4625
        15009.0000              .0000      44842941.3584
        15009.0000              .0000      46124168.2544
        15009.0000              .0000      47405395.1504
        15009.0000              .0000      48686622.0463
        15009.0000              .0000      49967848.9423
        15009.0000              .0000      51249075.8382
        15009.0000              .0000      52530302.7342
        15009.0000              .0000      53811529.6301
        15009.0000              .0000      55092756.5261
        15009.0000              .0000      56373983.4220
        15009.0000              .0000      57655210.3180
        15009.0000              .0000      58936437.2140
        15009.0000              .0000      60217664.1099
        15009.0000              .0000      61498891.0059
        15009.0000              .0000      62780117.9018
        15009.0000              .0000      64061344.7978
        15009.0000              .0000      65342571.6937
        15009.0000              .0000      66623798.5897
        15009.0000              .0000      67905025.4857
        15009.0000              .0000      69186252.3816
        15009.0000              .0000      70467479.2776
        15009.0000              .0000      71748706.1735
        15009.0000              .0000      73029933.0695
        15009.0000              .0000      74311159.9654
        15009.0000              .0000      75592386.8614
        15009.0000              .0000      76873613.7574
        15009.0000              .0000      78154840.6533
        15009.0000              .0000      79436067.5493
        15009.0000              .0000      80717294.4452
        15009.0000              .0000      81998521.3412
        15009.0000              .0000      83279748.2371
        15009.0000              .0000      84560975.1331
        15009.0000              .0000      85842202.0291
        15009.0000              .0000      87123428.9250
        15009.0000              .0000      88404655.8210
        15009.0000              .0000      89685882.7169
        15009.0000              .0000      90967109.6129
        15009.0000              .0000      92248336.5088
        15009.0000              .0000      93529563.4048
        15009.0000              .0000      94810790.3008
        15009.0000              .0000      96092017.1967
        15009.0000              .0000      97373244.0927
        15009.0000              .0000      98654470.9886
        15009.0000              .0000      99935697.8846
        15009.0000              .0000     101216924.7805
        15009.0000              .0000     102498151.6765
        15009.0000              .0000     103779378.5725
        15009.0000              .0000     105060605.4684
        15009.0000              .0000     106341832.3644
        15009.0000              .0000     107623059.2603
        15009.0000              .0000     108904286.1563
        15009.0000              .0000     110185513.0522
        15009.0000              .0000     111466739.9482
        15009.0000              .0000     112747966.8441
        15009.0000              .0000     114029193.7401
        15009.0000              .0000     115310420.6361
        15009.0000              .0000     116591647.5320
        15009.0000              .0000     117872874.4280
        15009.0000              .0000     119154101.3239
        15009.0000              .0000     120435328.2199
        15009.0000              .0000     121716555.1158
        15009.0000              .0000     122997782.0118
        15009.0000              .0000     124279008.9078
        15009.0000              .0000     125560235.8037
        15009.0000              .0000     126841462.6997
        15009.0000              .0000     128122689.5956
        15009.0000              .0000     129403916.4916
        15009.0000              .0000     130685143.3875
        15009.0000              .0000     131966370.2835
        15009.0000              .0000     133247597.1795
        15009.0000              .0000     134528824.0754
        15009.0000              .0000     135810050.9714
        15009.0000              .0000     137091277.8673
        15009.0000              .0000     138372504.7633
        15009.0000              .0000     139653731.6592
        15009.0000              .0000     140934958.5552
        15009.0000              .0000     142216185.4512
        15009.0000              .0000     143497412.3471
        15009.0000              .0000     144778639.2431
        15009.0000              .0000     146059866.1390
        15009.0000              .0000     147341093.0350
        15009.0000              .0000     148622319.9309
        15009.0000              .0000     149903546.8269
        15009.0000              .0000     151184773.7229
        15009.0000              .0000     152466000.6188
        15009.0000              .0000     153747227.5148
        15009.0000              .0000     155028454.4107
        15009.0000              .0000     156309681.3067
        15009.0000              .0000     157590908.2026
        15009.0000              .0000     158872135.0986
        15009.0000              .0000     160153361.9945
        15009.0000              .0000     161434588.8905
        15009.0000              .0000     162715815.7865
        15009.0000              .0000     163997042.6824
        15009.0000              .0000     165278269.5784
        15009.0000              .0000     166559496.4743
        15009.0000              .0000     167840723.3703
        15009.0000              .0000     169121950.2662
        15009.0000              .0000     170403177.1622
        15009.0000              .0000     171684404.0582
        15009.0000              .0000     172965630.9541
        15009.0000              .0000     174246857.8501
        15009.0000              .0000     175528084.7460
        15009.0000              .0000     176809311.6420
        15009.0000              .0000     178090538.5379
        15009.0000              .0000     179371765.4339
        15009.0000              .0000     180652992.3299
        15009.0000              .0000     181934219.2258
        15009.0000              .0000     183215446.1218
        15009.0000              .0000     184496673.0177
        15009.0000              .0000     185777899.9137
        15009.0000              .0000     187059126.8096
        15009.0000              .0000     188340353.7056
        15009.0000              .0000     189621580.6016
        15009.0000              .0000     190902807.4975
        15009.0000              .0000     192184034.3935
        15009.0000              .0000     193465261.2894
        15009.0000              .0000     194746488.1854
        15009.0000              .0000     196027715.0813
        15009.0000              .0000     197308941.9773
        15009.0000              .0000     198590168.8733
        15009.0000              .0000     199871395.7692
        15009.0000              .0000     201152622.6652
        15009.0000              .0000     202433849.5611
        15009.0000              .0000     203715076.4571
        15009.0000              .0000     204996303.3530
        15009.0000              .0000     206277530.2490
        15009.0000              .0000     207558757.1450
        15009.0000              .0000     208839984.0409
        15009.0000              .0000     210121210.9369
        15009.0000              .0000     211402437.8328
        15009.0000              .0000     212683664.7288
        15009.0000              .0000     213964891.6247
        15009.0000              .0000     215246118.5207
        15009.0000              .0000     216527345.4166
        15009.0000              .0000     217808572.3126
        15009.0000              .0000     219089799.2086
        15009.0000              .0000     220371026.1045
        15009.0000              .0000     221652253.0005
        15009.0000              .0000     222933479.8964
        15009.0000              .0000     224214706.7924
        15009.0000              .0000     225495933.6883
        15009.0000              .0000     226777160.5843
        15009.0000              .0000     228058387.4803
        15009.0000              .0000     229339614.3762
        15009.0000              .0000     230620841.2722
        15009.0000              .0000     231902068.1681
        15009.0000              .0000     233183295.0641
        15009.0000              .0000     234464521.9600
        15009.0000              .0000     235745748.8560
        15009.0000              .0000     237026975.7520
        15009.0000              .0000     238308202.6479
        15009.0000              .0000     239589429.5439
        15009.0000              .0000     240870656.4398
        15009.0000              .0000     242151883.3358
        15009.0000              .0000     243433110.2317
        15009.0000              .0000     244714337.1277
        15009.0000              .0000     245995564.0237
        15009.0000              .0000     247276790.9196
        15009.0000              .0000     248558017.8156
        15009.0000              .0000     249839244.7115
        15009.0000              .0000     251120471.6075
        15009.0000              .0000     252401698.5034
        15009.0000              .0000     253682925.3994
        15009.0000              .0000     254964152.2954
        15009.0000              .0000     256245379.1913
        15009.0000              .0000     257526606.0873
        15009.0000              .0000     258807832.9832
        15009.0000              .0000     260089059.8792
        15009.0000              .0000     261370286.7751
        15009.0000              .0000     262651513.6711
        15009.0000              .0000     263932740.5671
        15009.0000              .0000     265213967.4630
        15009.0000              .0000     266495194.3590
        15009.0000              .0000     267776421.2549
        15009.0000              .0000     269057648.1509
        15009.0000              .0000     270338875.0468
        15009.0000              .0000     271620101.9428
        15009.0000              .0000     272901328.8387
        15009.0000              .0000     274182555.7347
        15009.0000              .0000     275463782.6307
        15009.0000              .0000     276745009.5266
        15009.0000              .0000     278026236.4226
        15009.0000              .0000     279307463.3185
        15009.0000              .0000     280588690.2145
        15009.0000              .0000     281869917.1104
        15009.0000              .0000     283151144.0064
        15009.0000              .0000     284432370.9024
        15009.0000              .0000     285713597.7983
        15009.0000              .0000     286994824.6943
        15009.0000              .0000     288276051.5902
        15009.0000              .0000     289557278.4862
        15009.0000              .0000     290838505.3821
        15009.0000              .0000     292119732.2781
        15009.0000              .0000     293400959.1741
        15009.0000              .0000     294682186.0700
        15009.0000              .0000     295963412.9660
        15009.0000              .0000     297244639.8619
        15009.0000              .0000     298525866.7579
        15009.0000              .0000     299807093.6538
        15009.0000              .0000     301088320.5498
        15009.0000              .0000     302369547.4458
        15009.0000              .0000     303650774.3417
        15009.0000              .0000     304932001.2377
        15009.0000              .0000     306213228.1336
        15009.0000              .0000     307494455.0296
        15009.0000              .0000     308775681.9255
        15009.0000              .0000     310056908.8215
        15009.0000              .0000     311338135.7175
        15009.0000              .0000     312619362.6134
        15009.0000              .0000     313900589.5094
        15009.0000              .0000     315181816.4053
        15009.0000              .0000     316463043.3013
        15009.0000              .0000     317744270.1972
        15009.0000              .0000     319025497.0932
        15009.0000              .0000     320306723.9891
        15009.0000              .0000     321587950.8851
        15009.0000              .0000     322869177.7811
        15009.0000              .0000     324150404.6770
        15009.0000              .0000     325431631.5730
        15009.0000              .0000     326712858.4689
        15009.0000              .0000     327994085.3649
        15009.0000              .0000     329275312.2608
        15009.0000              .0000     330556539.1568
        15009.0000              .0000     331837766.0528
        15009.0000              .0000     333118992.9487
        15009.0000              .0000     334400219.8447
        15009.0000              .0000     335681446.7406
        15009.0000              .0000     336962673.6366
        15009.0000              .0000     338243900.5325
        15009.0000              .0000     339525127.4285
        15009.0000              .0000     340806354.3245
        15009.0000              .0000     342087581.2204
        15009.0000              .0000     343368808.1164
        15009.0000              .0000     344650035.0123
        15009.0000              .0000     345931261.9083
        15009.0000              .0000     347212488.8042
        15009.0000              .0000     348493715.7002
        15009.0000              .0000     349774942.5962
        15009.0000              .0000     351056169.4921
        15009.0000              .0000     352337396.3881
        15009.0000              .0000     353618623.2840
        15009.0000              .0000     354899850.1800
        15009.0000              .0000     356181077.0759
        15009.0000              .0000     357462303.9719
        15009.0000              .0000     358743530.8679
        15009.0000              .0000     360024757.7638
        15009.0000              .0000     361305984.6598
        15009.0000              .0000     362587211.5557
        15009.0000              .0000     363868438.4517
        15009.0000              .0000     365149665.3476
        15009.0000              .0000     366430892.2436
        15009.0000              .0000     367712119.1396
        15009.0000              .0000     368993346.0355
        15009.0000              .0000     370274572.9315
        15009.0000              .0000     371555799.8274
        15009.0000              .0000     372837026.7234
        15009.0000              .0000     374118253.6193
        15009.0000              .0000     375399480.5153
        15009.0000              .0000     376680707.4112
        15009.0000              .0000     377961934.3072
        15009.0000              .0000     379243161.2032
        15009.0000              .0000     380524388.0991
        15009.0000              .0000     381805614.9951
        15009.0000              .0000     383086841.8910
        15009.0000              .0000     384368068.7870
        15009.0000              .0000     385649295.6829
        15009.0000              .0000     386930522.5789
        15009.0000              .0000     388211749.4749
        15009.0000              .0000     389492976.3708
        15009.0000              .0000     390774203.2668
        15009.0000              .0000     392055430.1627
        15009.0000              .0000     393336657.0587
        15009.0000              .0000     394617883.9546
        15009.0000              .0000     395899110.8506
        15009.0000              .0000     397180337.7466
        15009.0000              .0000     398461564.6425
        15009.0000              .0000     399742791.5385
        15009.0000              .0000     401024018.4344
        15009.0000              .0000     402305245.3304
        15009.0000              .0000     403586472.2263
        15009.0000              .0000     404867699.1223
        15009.0000              .0000     406148926.0183
        15009.0000              .0000     407430152.9142
        15009.0000              .0000     408711379.8102
        15009.0000              .0000     409992606.7061
        15009.0000              .0000     411273833.6021
        15009.0000              .0000     412555060.4980
        15009.0000              .0000     413836287.3940
        15009.0000              .0000     415117514.2900
        15009.0000              .0000     416398741.1859
        15009.0000              .0000     417679968.0819
        15009.0000              .0000     418961194.9778
        15009.0000              .0000     420242421.8738
        15009.0000              .0000     421523648.7697
        15009.0000              .0000     422804875.6657
        15009.0000              .0000     424086102.5617
        15009.0000              .0000     425367329.4576
        15009.0000              .0000     426648556.3536
        15009.0000              .0000     427929783.2495
        15009.0000              .0000     429211010.1455
        15009.0000              .0000     430492237.0414
        15009.0000              .0000     431773463.9374
        15009.0000              .0000     433054690.8333
        15009.0000              .0000     434335917.7293
        15009.0000              .0000     435617144.6253
        15009.0000              .0000     436898371.5212
        15009.0000              .0000     438179598.4172
        15009.0000              .0000     439460825.3131
        15009.0000              .0000     440742052.2091
        15009.0000              .0000     442023279.1050
        15009.0000              .0000     443304506.0010
        15009.0000              .0000     444585732.8970
        15009.0000              .0000     445866959.7929
        15009.0000              .0000     447148186.6889
        15009.0000              .0000     448429413.5848
        15009.0000              .0000     449710640.4808
        15009.0000              .0000     450991867.3767
        15009.0000              .0000     452273094.2727
        15009.0000              .0000     453554321.1687
        15009.0000              .0000     454835548.0646
        15009.0000              .0000     456116774.9606
        15009.0000              .0000     457398001.8565
        15009.0000              .0000     458679228.7525
        15009.0000              .0000     459960455.6484
        15009.0000              .0000     461241682.5444
        15009.0000              .0000     462522909.4404
        15009.0000              .0000     463804136.3363
        15009.0000              .0000     465085363.2323
        15009.0000              .0000     466366590.1282
        15009.0000              .0000     467647817.0242
        15009.0000              .0000     468929043.9201
        15009.0000              .0000     470210270.8161
        15009.0000              .0000     471491497.7121
        15009.0000              .0000     472772724.6080
        15009.0000              .0000     474053951.5040
        15009.0000              .0000     475335178.3999
        15009.0000              .0000     476616405.2959
        15009.0000              .0000     477897632.1918
        15009.0000              .0000     479178859.0878
        15009.0000              .0000     480460085.9837
        15009.0000              .0000     481741312.8797
        15009.0000              .0000     483022539.7757
        15009.0000              .0000     484303766.6716
        15009.0000              .0000     485584993.5676
        15009.0000              .0000     486866220.4635
        15009.0000              .0000     488147447.3595
        15009.0000              .0000     489428674.2554
        15009.0000              .0000     490709901.1514
        15009.0000              .0000     491991128.0474
        15009.0000              .0000     493272354.9433
